IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
RAPH1	36.4	41.8	146	119.8	467.9	836.5	424	154.8	51.2	40.6	161.1
SMCR8	26.6	70.6	54	106.4	67.7	31	31.8	36	91.5	37.5	30.2
LACTB	108.5	357.1	235.8	4.7	190.6	20.2	202.1	482.3	191	306.5	66.1
LACTB	115.3	187.7	20.7	23.8	55.6	58.9	84.6	184	45.3	205	84.7
BNC1	1.3	5.4	29.4	1.9	2.3	1.9	3.7	17.3	4.1	6.2	14.3
MPP4	54.9	5.9	34.8	13.1	22.3	9.4	60.4	44.9	3.7	57.5	4.1
LACE1	79.1	131	88.7	24.6	100.7	188.4	42	73.1	138.5	104	90.3
IDI2	4.4	17.7	20.2	107.4	9.4	77.3	47.4	24.6	4.7	64.5	23.7
CYP11B1	4.3	4.8	7.3	5.2	5.4	8	3	7	3.6	2.9	3.4
TAF8	7.7	2.3	4.1	8.9	36.8	13.7	14.4	25.2	19.8	26.6	21.2
COBL	185.1	16.4	12.2	33.1	45.4	182.7	210.1	47.9	333	182.9	130.6
SLAMF6	148.9	89.5	109.8	28.5	189.3	119.7	132	83.3	109.3	101.6	150.4
ZSCAN20	46.3	54	54.7	72.9	139.3	90.5	11	15.5	85	57	70.7
ZSCAN20	53.2	45.2	2.4	9.6	79	36.6	60.4	47.9	3.7	42.6	29.8
GPBAR1	5.9	75.4	13.7	7.4	5.7	55.8	26.7	5.2	5.9	11	23.3
RHBDL2	3.8	59.8	7.8	24.2	29.7	60.5	6.6	36.2	35.5	29.5	93.1
FRAS1	25.3	11.1	111.8	10.5	42.5	66.5	109.1	70.1	50.6	108.2	21.5
BRSK1	146.5	194.8	173.7	199.8	92.9	37	219.3	116.7	92.3	41.9	121.8
CRB2	23.3	31.2	14	3	37	6.2	12.4	63.7	15.5	42.5	44.9
KCNE4	111.4	185.2	61.2	14.8	77.2	8.7	26.5	91.1	17.9	70.2	18.4
KCNE4	7.2	59.6	18.6	59.5	66.7	9.5	10.9	92.1	32.8	9.4	26.1
CD300LG	54.4	36.7	7.6	130.4	11.1	3	76.3	20.3	26.6	4.9	56.3
SLC34A3	373.1	373.1	376.6	334.5	322.9	404.8	507.2	401	455.6	341.7	347.7
CPA6	6.8	49.3	4.8	4.2	38.9	12.3	1.8	33.1	0.9	3.6	369.2
WBP2NL	41.3	10.2	124.7	599.2	127.1	136.4	187.8	92.4	108.7	51.9	182.2
HIPK1	23.7	20.5	12.7	38	11.2	53.6	9.3	78.8	11.5	31.8	107.7
HIPK1	32.7	2.6	29	15.7	21.2	34.6	8.9	31.6	66.3	39	32.9
MTBP	2.5	2.3	60.4	4.7	48.2	4.8	6	4.7	29.4	4.7	46.8
ACVR1C	64.1	38.8	9.8	22.1	40.1	102.9	47.3	106.1	78.6	6.1	17.9
TMEM74	76.8	31.5	59.5	3.5	7.4	69.5	127.1	117.6	45.2	38.8	40.8
TMEM74	35.5	17	4.6	12.3	11.9	4.5	215.6	86	17.3	2.7	28.1
TIGD4	48.4	3.4	14.4	6.6	10.6	25.2	46.1	103.6	65.6	23.3	33.2
TIGD4	75.6	24.5	39.7	3.4	25.3	47.3	113.9	55.7	24	12.9	55.6
ART5	8.3	17.6	14.9	14.4	23.3	33.5	17.8	7.7	15.4	10.5	25.6
FAM71C	8.9	8	8.1	5.8	4.5	4.6	4.7	2.5	10.4	10.7	10.7
LINC01547	136.9	39.4	161.1	15.4	30.2	62.9	14.1	12.9	52.6	31.8	57.7
NLRP11	4.8	50.2	17.7	25.5	9.3	14.1	28.2	55.2	6.9	10.9	11.5
ATP6V1C2	11.7	21.1	4.8	10.5	57.5	5.8	11.4	227.6	14.5	18.6	82.1
CLDN19	66.4	15.6	117	39.7	94.9	32.7	91.7	91.5	69.8	85.9	49.4
VTI1A	44.2	49.9	331.8	92.9	463.1	478	287.3	346.5	71.7	93.1	399.4
KIF6	6.4	2.7	16.8	5	4.5	6.8	49.3	4.7	5.9	5	6.7
IQCD	79.2	84	178.6	107.3	199.7	160.2	169.5	97.3	64.7	82.5	114.9
TAGAP	153.8	213.5	94.6	146.3	151.6	249.4	201.7	115.1	102.5	210.1	30.7
TAGAP	51.5	13.9	81.5	44.8	79.4	92.1	73.1	39.6	73	20.7	80.7
STON2	64.7	72.5	75.8	101.9	46.5	33.4	105	45.2	72.3	55.8	92.5
SERPINA12	107.7	71.8	10.7	57.7	68.3	64.9	58.5	72.7	70.6	21.4	69.3
LETM2	38.9	71.2	7	46.3	35.9	93.9	249.4	44.2	30.5	54.2	37.3
BSND	3.8	5.7	38.1	55.1	19.3	26.7	10.9	36.8	37.8	8.4	54.6
BSND	115.2	16.5	29.2	11.5	13.9	18.3	50.1	88	66.4	25.9	18.8
CLEC4C	5.6	25.2	6	42.1	12.5	68	55	48.5	17.8	58.8	48.6
NLRC4	7.4	23	8.1	18.8	65.2	46.9	219	41.3	2.5	3.4	11.1
NLRC4	2.8	4.8	17.5	16.4	4.7	4.7	58.3	3.4	27.1	27.4	27
PRSS36	10.4	20.3	33.4	33.1	39.9	55.1	112	90.5	96.1	18.5	64.4
ZDHHC15	25.1	84.1	75	43.9	41.8	51.2	26.4	24.3	29.1	49.9	172.5
RAI1	163.3	157.9	201.3	236.5	173	266.5	323.1	218	251.2	207.1	185.9
CDK15	36.6	16.5	19	6.8	8.7	22.8	11.5	16.5	20	13.9	3.7
ZNF570	243.1	45.1	82.9	166.9	158.1	65.2	4.5	357.8	150.8	127.6	141.3
1552563_a_at	5.6	47.7	183.4	67.4	240.2	257.5	20.2	82.2	4.5	6.8	95.8
NUDT9P1	8.1	41.5	57.9	32.4	9.3	111.9	9.5	46	29.5	7.5	31.6
BTBD16	3.6	5.5	2.7	2.7	4.1	5.8	3	3.6	3.5	3.8	1.9
RTP3	25.1	35.8	32	4.1	35.8	11.8	23.6	24.5	13.8	4.3	4.3
RTP3	8.8	47.4	7.3	49.1	15.1	7.2	16.1	9.1	44.7	9.5	10.6
TSPEAR	75	5.4	55.8	93	97.4	87.2	118.8	6.7	13.2	89.1	46.8
MIPOL1	4.1	1.4	34.9	45	88.7	54.9	143.1	2.2	94.4	41.3	72.1
MIPOL1	14	64.2	17.6	53.6	54.7	36.7	299.6	4.1	314.7	69.7	56
C6orf141	9.5	12	30.6	5.5	7.5	43.9	9.6	145	21.4	50.3	5.5
ALMS1P1	24.8	71.3	211.3	115.9	255.5	416.7	95.7	298.8	103.8	18.1	133.4
MYO3B	43.1	5.3	2.3	4.5	42.6	5.2	221.5	3.2	13.7	6.5	13.4
ADAM21	31.8	3	17.1	6.3	93.3	3.7	3.3	3.4	121.8	6.1	4
TRIML2	34.4	9.9	23	10	28.7	32.3	5.4	3.6	3.6	12.1	3.3
ABCC13	43.9	49.1	73.5	83	31.2	3.3	64.8	51.1	32.8	14.1	94.4
ABCC13	31.8	59.9	38.5	30	53.2	31.7	91.6	30.2	13.5	63.1	33.6
IL12RB1	13.2	97.9	31.9	15.5	18.4	60.1	9.4	68.9	39.3	3.1	49.5
GTF2A1L	31.8	40.1	56.1	30.6	60.6	61.2	7	16.8	7.3	26.2	54
TRPV3	64.2	77.5	110.3	25.9	103.6	17.9	63	82.5	100.5	30.2	12.8
CNBD1	53.8	1.7	102.9	34	61.3	106.1	20.1	55.9	1.2	7.7	48.8
CNBD1	65.9	15	2.3	31.5	43.1	11	6.3	5.5	2.8	7.2	17.7
ABCC12	10	17.1	28.9	11.4	33.6	52.9	4.6	65.1	9.9	213.1	2.7
MMP21	4.8	4.6	14.8	6.8	10.8	71.9	70.1	2.4	31.7	66.8	30.1
TMEM190	18.9	18.2	28.3	20	23.1	23.9	8.1	19	14.2	33.8	14.9
GAS2L2	92.5	31.9	14.1	29.9	26.2	40.2	34	67.3	39.8	5.9	84.5
KCNG4	13.9	45.4	53.2	40.1	40.5	16.9	82.1	42.7	49.5	10	58.9
PXT1	47.4	8.2	22.9	4.5	91.8	75.7	40.8	25.8	23.8	3.8	67.4
